0;les;id 0;les.jpg;je lesnata;medved;vlk;jezevec;je silny;je rychli;je maskovany;300;70;80;50;55;65;
1;bazina;id 1;bazina.jpg;prisery z bazin;utopenec;topivec;kraken;je nenapadny;je pomaly;obrovsky;150;100;500;45;40;100;
2;hrad;id 2;hrad.jpg;rytiri;strelec;rytir;jezdec;strili;ma zbroj;prurazny;75;200;300;50;80;110;
3;ves;id 3;ves.jpg;vesnicane; vidlak;zhar;knez;ma vidle;spaluje;kaze;50;40;30;30;40;20;vidle;slama;sekera;
4;louka;id 4;louka.jpg;travnata;obri cerv;srsen;pes;vynoruje se;boda;kouse;350;70;50;80;65;30;
5;rybnik;id 5;rybnik.jpg;ryby;piran;zralok;zelva;je rychla;je velky;krunir;40;175;50;75;70;20;poklad;
6;potok;id 6;potok.jpg;mensi vodnadci;had;skorpion;velka zaba;ma otravu;otrava;skace;50;60;250;70;75;50;
7;hory;id 7;hory.jpeg;nehojne prostredi;troll;obr;snezny drak;pancir;velikost;snezny ohen;350;500;450;80;95;135;
8;propast;id 8;propast.jpg;temna;ohnivy rytir;obri krab;vrtac;ohen;odolnost;dela cestu;400;550;300;160;70;88;
9;stisknete A;id 9;start.jpg;zacatek;nic;nic;nic;nic;nic;nic;0;0;0;0;0;0;
